YEAR,REPDTE,REPDTE_CLEAN,NAME,CERT,CITY,STALP,ASSET,DEP,ROA,ROE,NIM_PERCENT,NIM_DOLLARS,EEFFR,NALTOT,NAASSET,HAS_FULL_HISTORY
2022,20220331,3/31/2022,THOMASVILLE NATIONAL BANK,34068,THOMASVILLE,GA,1499580,1324208,1.614431548,20.08,3.002944815,10771,48.54737642,0,1070,Y
2024,20240331,3/31/2024,THOMASVILLE NATIONAL BANK,34068,THOMASVILLE,GA,1743564,1509401,2.208382141,24.12,3.864201919,15779,41.03802918,,801,Y
2026,20260331,3/31/2026,THOMASVILLE NATIONAL BANK,34068,THOMASVILLE,GA,2095241,1790859,2.37448779,23.94,4.091952917,20632,37.87845385,,5375,Y
2026,20260331,3/31/2026,THREAD BANK,9499,ROGERSVILLE,TN,1038742,932663,0.614749264,6.55,2.975529874,6991,77.46729123,,148,N
2026,20260331,3/31/2026,TRUXTON TRUST CO,57825,NASHVILLE,TN,1370609,1185840,1.952357789,23.72,3.130660453,10489,49.76774655,,91,N
2020,20200331,3/31/2020,UNITED BANK,172,ZEBULON,GA,1512804,1348680,2.358255465,22.88,3.617118291,13000,54.18524524,0,8013,Y
2022,20220331,3/31/2022,UNITED BANK,172,ZEBULON,GA,2367631,2189603,1.476099838,19.82,2.14275284,12051,58.51844356,0,5624,Y
2024,20240331,3/31/2024,UNITED BANK,172,ZEBULON,GA,2146581,1898426,2.879579119,28.3,5.252990764,27356,40.04011461,,5144,Y
2026,20260331,3/31/2026,UNITED BANK,172,ZEBULON,GA,2216638,1946159,2.591870918,24.2,4.846643932,26088,43.67772234,,2300,Y
2022,20220331,3/31/2022,VOLUNTEER STATE BANK,22451,PORTLAND,TN,1002883,864511,0.754099484,5.57,3.441634214,7344,74.62803446,0,0,N
2024,20240331,3/31/2024,VOLUNTEER STATE BANK,22451,PORTLAND,TN,1110718,911604,0.617131171,5.05,3.79624373,8927,80.05540166,,5625,N
2026,20260331,3/31/2026,WELLWORTH BANK,1711,LAFAYETTE,TN,1776310,1502074,1.302915012,13.09,3.822432365,15728,58.22406007,,16723,N
2020,20200331,3/31/2020,WILSON BANK&TRUST,26962,LEBANON,TN,2867394,2479129,1.307012247,10.77,3.688922778,24613,58.5255526,0,311,Y
2022,20220331,3/31/2022,WILSON BANK&TRUST,26962,LEBANON,TN,4095635,3689286,1.166876728,11.95,3.252296696,31028,56.28589033,0,0,Y
2024,20240331,3/31/2024,WILSON BANK&TRUST,26962,LEBANON,TN,4938380,4457720,1.065520081,12.12,3.047535077,35325,61.45261534,,0,Y
2026,20260331,3/31/2026,WILSON BANK&TRUST,26962,LEBANON,TN,5989062,5352805,1.518593312,15.49,3.796509362,53670,50.91342457,,22808,Y
